,ticker,date_com,value,type,vol_liq,total
325,ITUB3,2020-03-31,0.015,DIVIDENDO,88,1.3199999999999998
326,ITUB3,2020-06-30,0.015,DIVIDENDO,88,1.3199999999999998
327,ITUB3,2020-08-31,0.015,DIVIDENDO,163,2.445
328,ITUB3,2019-12-30,0.015,DIVIDENDO,38,0.57
329,ITUB3,2020-02-28,0.015,DIVIDENDO,58,0.87
330,ITUB3,2020-05-29,0.015,DIVIDENDO,88,1.3199999999999998
331,ITUB3,2020-11-30,0.015,DIVIDENDO,213,3.195
332,ITUB3,2020-02-20,0.4832,DIVIDENDO,38,18.3616
333,ITUB3,2020-02-20,0.5235,JRS CAP PROPRIO,38,19.893
334,ITUB3,2020-08-17,0.0529,JRS CAP PROPRIO,163,8.6227
335,ITUB3,2020-10-12,0.06396,JRS CAP PROPRIO,193,12.34428
336,ITUB3,2020-12-30,0.015,DIVIDENDO,213,3.195
15,MDIA3,2018-12-27,0.41002949850000003,JRS CAP PROPRIO,14,5.7404129789999985
16,MDIA3,2019-12-30,0.2507374631,JRS CAP PROPRIO,56,14.0412979336
17,MDIA3,2020-12-23,0.45722713859999997,JRS CAP PROPRIO,56,25.6047197616
11,MGLU3,2019-12-30,0.0357891574,JRS CAP PROPRIO,40,1.431566296
12,MGLU3,2020-07-30,0.0941659675,DIVIDENDO,115,10.8290862625
13,MGLU3,2020-12-29,0.0263019985,JRS CAP PROPRIO,460,12.09891931
27,MYPK3,2020-10-03,0.6641180999999999,DIVIDENDO,230,152.74716299999997
70,ODPV3,2018-12-21,0.109524156,DIVIDENDO,40,4.38096624
71,ODPV3,2018-12-21,0.029680887000000006,JRS CAP PROPRIO,40,1.18723548
72,ODPV3,2019-03-21,0.033235867999999995,JRS CAP PROPRIO,40,1.3294347199999998
73,ODPV3,2019-04-04,0.052310979,DIVIDENDO,40,2.09243916
74,ODPV3,2019-07-05,0.09525460699999999,DIVIDENDO,40,3.81018428
75,ODPV3,2019-06-21,0.029899601,JRS CAP PROPRIO,40,1.19598404
76,ODPV3,2019-06-08,0.052387078,DIVIDENDO,40,2.09548312
77,ODPV3,2019-09-27,0.028128431000000002,JRS CAP PROPRIO,90,2.53155879
78,ODPV3,2019-04-11,0.042397615,DIVIDENDO,40,1.6959046000000002
79,ODPV3,2019-12-19,0.026784764,JRS CAP PROPRIO,90,2.41062876
80,ODPV3,2020-03-17,0.026139961,JRS CAP PROPRIO,145,3.790294345
81,ODPV3,2020-04-05,0.067845036,DIVIDENDO,145,9.83753022
82,ODPV3,2020-05-05,0.044775227,DIVIDENDO,145,6.492407915
83,ODPV3,2020-06-16,0.025245927999999997,JRS CAP PROPRIO,145,3.66065956
84,ODPV3,2020-11-08,0.15681146099999999,DIVIDENDO,245,38.418807945
85,ODPV3,2020-09-16,0.0250832,JRS CAP PROPRIO,215,5.392888
86,ODPV3,2020-03-11,0.136805908,DIVIDENDO,145,19.83685666
87,ODPV3,2020-12-15,0.023491854,JRS CAP PROPRIO,290,6.81263766
197,PETR4,2020-07-22,0.000449,DIVIDENDO,330,0.14817
198,PETR4,2020-07-22,1.2e-05,RENDIMENTO,330,0.00396
39,PSSA3,2019-03-29,0.76968654,DIVIDENDO,10,7.696865400000001
40,PSSA3,2019-06-25,0.71456757,JRS CAP PROPRIO,20,14.2913514
41,PSSA3,2019-10-29,0.63708509,JRS CAP PROPRIO,20,12.741701800000001
42,PSSA3,2020-03-31,0.98491337,DIVIDENDO,20,19.6982674
43,PSSA3,2020-06-29,0.59679777,JRS CAP PROPRIO,55,32.823877350000004
44,PSSA3,2020-10-30,0.55962046524,JRS CAP PROPRIO,55,30.779125588200003
84,WEGE3,2018-12-21,0.051411765,JRS CAP PROPRIO,90,4.62705885
85,WEGE3,2019-02-22,0.08290575900000001,DIVIDENDO,110,9.119633490000002
86,WEGE3,2019-03-22,0.046411765,JRS CAP PROPRIO,110,5.10529415
87,WEGE3,2019-06-28,0.042882353,JRS CAP PROPRIO,110,4.71705883
88,WEGE3,2019-07-26,0.08910237800000001,DIVIDENDO,110,9.80126158
89,WEGE3,2019-09-20,0.040882352999999996,JRS CAP PROPRIO,110,4.497058829999999
90,WEGE3,2019-12-20,0.038235293999999996,JRS CAP PROPRIO,110,4.20588234
91,WEGE3,2020-02-21,0.167761411,DIVIDENDO,110,18.45375521
92,WEGE3,2020-03-20,0.030235294,JRS CAP PROPRIO,135,4.08176469
93,WEGE3,2020-06-26,0.038235293999999996,JRS CAP PROPRIO,135,5.161764689999999
94,WEGE3,2020-07-24,0.12680159,DIVIDENDO,135,17.11821465
95,WEGE3,2020-09-25,0.034470587999999996,JRS CAP PROPRIO,135,4.653529379999998
96,WEGE3,2020-12-18,0.036882353,JRS CAP PROPRIO,135,4.979117655
